"","year","carrier_name","Category","Value"
"1","2003","AirTran Airways Corporation","Carrier Delay",3.47140732885318
"2","2003","AirTran Airways Corporation","Weather Delay",0.356875266561387
"3","2003","AirTran Airways Corporation","National Avaiation System Delay",9.67223035514622
"4","2003","AirTran Airways Corporation","Cancelled / Diverted",1.08468871393496
"5","2003","AirTran Airways Corporation","Security Delay",0
"6","2003","AirTran Airways Corporation","Late Arrival",8.28442820421196
"7","2003","AirTran Airways Corporation","On Time",77.1304738741023
"8","2003","Alaska Airlines Inc.","Carrier Delay",5.69413075403859
"9","2003","Alaska Airlines Inc.","National Avaiation System Delay",4.55476781283233
"10","2003","Alaska Airlines Inc.","Cancelled / Diverted",2.1572897148934
"11","2003","Alaska Airlines Inc.","On Time",79.5138502050945
"12","2003","Alaska Airlines Inc.","Security Delay",0.275727958677267
"13","2003","Alaska Airlines Inc.","Weather Delay",0.263837544943536
"14","2003","Alaska Airlines Inc.","Late Arrival",7.54029472831316
"15","2003","Aloha Airlines Inc.","On Time",0
"16","2003","Aloha Airlines Inc.","Late Arrival",0
"17","2003","Aloha Airlines Inc.","Cancelled / Diverted",0
"18","2003","Aloha Airlines Inc.","Carrier Delay",0
"19","2003","Aloha Airlines Inc.","National Avaiation System Delay",0
"20","2003","Aloha Airlines Inc.","Weather Delay",0
"21","2003","Aloha Airlines Inc.","Security Delay",0
"22","2003","American Airlines Inc.","Cancelled / Diverted",1.71885890956437
"23","2003","American Airlines Inc.","Late Arrival",4.0342966641899
"24","2003","American Airlines Inc.","Carrier Delay",4.60224473035861
"25","2003","American Airlines Inc.","On Time",79.4739905269526
"26","2003","American Airlines Inc.","National Avaiation System Delay",8.90714665280292
"27","2003","American Airlines Inc.","Weather Delay",1.20763180717127
"28","2003","American Airlines Inc.","Security Delay",0.055789301759576
"29","2003","American Eagle Airlines Inc.","Late Arrival",6.90830048277471
"30","2003","American Eagle Airlines Inc.","Security Delay",0.020777895956317
"31","2003","American Eagle Airlines Inc.","Weather Delay",0.620300261354695
"32","2003","American Eagle Airlines Inc.","Cancelled / Diverted",3.02119701241138
"33","2003","American Eagle Airlines Inc.","Carrier Delay",4.77590713011984
"34","2003","American Eagle Airlines Inc.","National Avaiation System Delay",7.15140384242803
"35","2003","American Eagle Airlines Inc.","On Time",77.5021450063856
