"Year","Carrier Name","On Time"
"2003","AirTran Airways Corporation",77.1304738741023
"2004","AirTran Airways Corporation",77.7414830398996
"2005","AirTran Airways Corporation",71.3381305273501
"2006","AirTran Airways Corporation",74.6180226808896
"2007","AirTran Airways Corporation",76.8105973954909
"2008","AirTran Airways Corporation",76.7299490989132
"2009","AirTran Airways Corporation",75.7946025495694
"2010","AirTran Airways Corporation",82.8370384658662
"2011","AirTran Airways Corporation",84.4308271311564
"2012","AirTran Airways Corporation",87.0921608712791
"2013","AirTran Airways Corporation",79.4483535688006
"2014","AirTran Airways Corporation",80.8855902886974
"2003","Alaska Airlines Inc.",79.5138502050945
"2004","Alaska Airlines Inc.",76.4749209542972
"2005","Alaska Airlines Inc.",69.7381404174573
"2006","Alaska Airlines Inc.",73.2804697498181
"2007","Alaska Airlines Inc.",72.3800605549833
"2008","Alaska Airlines Inc.",78.2928088311207
"2009","Alaska Airlines Inc.",82.9073273037095
"2010","Alaska Airlines Inc.",87.5560423512231
"2011","Alaska Airlines Inc.",88.2046393832709
"2012","Alaska Airlines Inc.",87.51973653003
"2013","Alaska Airlines Inc.",87.1645244049812
"2014","Alaska Airlines Inc.",86.1616029253012
"2015","Alaska Airlines Inc.",86.4167260797236
"2016","Alaska Airlines Inc.",87.329083935018
"2017","Alaska Airlines Inc.",77.5991731118794
"2006","Aloha Airlines Inc.",89.9737191624043
"2007","Aloha Airlines Inc.",92.2454702329594
"2008","Aloha Airlines Inc.",94.3333333333333
"2003","American Airlines Inc.",79.4739905269526
"2004","American Airlines Inc.",76.7809799756065
"2005","American Airlines Inc.",76.8608709723874
"2006","American Airlines Inc.",75.5451004277522
"2007","American Airlines Inc.",68.739005800993
"2008","American Airlines Inc.",69.841771053245
"2009","American Airlines Inc.",77.2116237035372
"2010","American Airlines Inc.",79.6268876059915
"2011","American Airlines Inc.",77.7901032927706
"2012","American Airlines Inc.",76.9433761090591
"2013","American Airlines Inc.",77.6162828528457
"2014","American Airlines Inc.",75.7921282804256
"2015","American Airlines Inc.",80.2574161414026
"2016","American Airlines Inc.",79.3836810301653
"2017","American Airlines Inc.",82.0783572778154
"2003","American Eagle Airlines Inc.",77.5021450063856
"2004","American Eagle Airlines Inc.",73.160997582221
"2005","American Eagle Airlines Inc.",76.2140247203176
"2006","American Eagle Airlines Inc.",71.4760183825133
"2007","American Eagle Airlines Inc.",69.1289820053507
"2008","American Eagle Airlines Inc.",72.8539025419152
"2009","American Eagle Airlines Inc.",77.2164875322934
"2010","American Eagle Airlines Inc.",77.0504558602761
"2011","American Eagle Airlines Inc.",76.3497985175533
"2012","American Eagle Airlines Inc.",81.605655831255
"2013","American Eagle Airlines Inc.",72.1028042694918
"2014","American Eagle Airlines Inc.",66.3292962225845
"2003","America West Airlines Inc.",82.8298436499954
"2004","America West Airlines Inc.",75.7266292060284
"2005","America West Airlines Inc.",81.2193901532956
"2003","ATA Airlines",81.6125441152088
"2004","ATA Airlines",79.8061774323806
"2005","ATA Airlines",81.3326078578068
"2006","ATA Airlines",69.4418936843179
"2003","Atlantic Coast Airlines",77.6099647829067
"2004","Atlantic Coast Airlines",73.7209222919746
"2003","Atlantic Southeast Airlines",76.2508304798896
"2004","Atlantic Southeast Airlines",76.3247639504986
"2005","Atlantic Southeast Airlines",70.8600445761816
"2006","Atlantic Southeast Airlines",66.0005930959241
"2007","Atlantic Southeast Airlines",64.7337493100051
"2008","Atlantic Southeast Airlines",74.2436068787312
"2009","Atlantic Southeast Airlines",71.2408026755853
"2010","Atlantic Southeast Airlines",79.2360590147537
"2011","Atlantic Southeast Airlines",75.1513672619683
"2004","Comair Inc.",77.2546110042695
"2005","Comair Inc.",80.0989675798572
"2006","Comair Inc.",73.767255545687
"2007","Comair Inc.",67.8649505151844
"2008","Comair Inc.",69.9170575941136
"2009","Comair Inc.",69.0175459403188
"2010","Comair Inc.",73.1196488566165
"2003","Continental Air Lines Inc.",80.4571918097739
"2004","Continental Air Lines Inc.",78.8777565822222
"2005","Continental Air Lines Inc.",76.9042779468821
"2006","Continental Air Lines Inc.",73.4192230493004
"2007","Continental Air Lines Inc.",74.3398596940749
"2008","Continental Air Lines Inc.",73.9836826322226
"2009","Continental Air Lines Inc.",78.7707527948001
"2010","Continental Air Lines Inc.",81.4164691918369
"2011","Continental Air Lines Inc.",77.1305000040763
"2003","Delta Air Lines Inc.",81.2471040772004
"2004","Delta Air Lines Inc.",76.17118309343
"2005","Delta Air Lines Inc.",76.285808033395
"2006","Delta Air Lines Inc.",76.2967163683643
"2007","Delta Air Lines Inc.",76.8916701163507
"2008","Delta Air Lines Inc.",76.3598867968783
"2009","Delta Air Lines Inc.",78.5599300946013
"2010","Delta Air Lines Inc.",77.3658475357858
"2011","Delta Air Lines Inc.",82.2946181439814
"2012","Delta Air Lines Inc.",86.5449407673079
"2013","Delta Air Lines Inc.",84.5051479454596
"2014","Delta Air Lines Inc.",83.7121349367484
"2015","Delta Air Lines Inc.",85.8851830328549
"2016","Delta Air Lines Inc.",86.4764518079731
"2017","Delta Air Lines Inc.",84.9348015925877
"2013","Endeavor Air Inc.",84.1267194664444
"2014","Envoy Air",69.6281669354178
"2015","Envoy Air",74.0739232257408
"2003","ExpressJet Airlines Inc.",78.4908859261043
"2004","ExpressJet Airlines Inc.",76.94171654841
"2005","ExpressJet Airlines Inc.",75.4447490755807
"2006","ExpressJet Airlines Inc.",73.2806306204272
