"Carrier Name","Year","Category","Value"
"AirTran Airways Corporation","2003","Late Arrival",8.28442820421196
"AirTran Airways Corporation","2003","Cancelled / Diverted",1.08468871393496
"AirTran Airways Corporation","2003","Carrier Delay",3.47140732885318
"AirTran Airways Corporation","2003","National Avaiation System Delay",9.67223035514622
"AirTran Airways Corporation","2003","Security Delay",0
"AirTran Airways Corporation","2003","Weather Delay",0.356875266561387
"AirTran Airways Corporation","2004","Late Arrival",8.12454631577652
"AirTran Airways Corporation","2004","Cancelled / Diverted",1.42718291317561
"AirTran Airways Corporation","2004","Carrier Delay",3.22999790843883
"AirTran Airways Corporation","2004","National Avaiation System Delay",9.32713862129209
"AirTran Airways Corporation","2004","Security Delay",0
"AirTran Airways Corporation","2004","Weather Delay",0.149589684912462
"AirTran Airways Corporation","2005","Late Arrival",11.2123935473305
"AirTran Airways Corporation","2005","Cancelled / Diverted",1.49647887323944
"AirTran Airways Corporation","2005","Carrier Delay",5.12539919751065
"AirTran Airways Corporation","2005","National Avaiation System Delay",10.6324465689486
"AirTran Airways Corporation","2005","Security Delay",0
"AirTran Airways Corporation","2005","Weather Delay",0.195048927284638
"AirTran Airways Corporation","2006","Late Arrival",10.9458604220581
"AirTran Airways Corporation","2006","Cancelled / Diverted",1.02421679395737
"AirTran Airways Corporation","2006","Carrier Delay",4.26941025479181
"AirTran Airways Corporation","2006","National Avaiation System Delay",9.01463106734836
"AirTran Airways Corporation","2006","Security Delay",0
"AirTran Airways Corporation","2006","Weather Delay",0.127795661596078
"AirTran Airways Corporation","2007","Late Arrival",9.55545886707276
"AirTran Airways Corporation","2007","Cancelled / Diverted",1.25019474918205
"AirTran Airways Corporation","2007","Carrier Delay",4.39395954536991
"AirTran Airways Corporation","2007","National Avaiation System Delay",7.80033743858276
"AirTran Airways Corporation","2007","Security Delay",0
"AirTran Airways Corporation","2007","Weather Delay",0.189421604429261
"AirTran Airways Corporation","2008","Late Arrival",9.73482903043365
"AirTran Airways Corporation","2008","Cancelled / Diverted",1.13533880558231
"AirTran Airways Corporation","2008","Carrier Delay",3.68876583971508
"AirTran Airways Corporation","2008","National Avaiation System Delay",8.53545115482796
"AirTran Airways Corporation","2008","Security Delay",0
"AirTran Airways Corporation","2008","Weather Delay",0.175704284556947
"AirTran Airways Corporation","2009","Late Arrival",10.410651711314
"AirTran Airways Corporation","2009","Cancelled / Diverted",1.01187279995227
"AirTran Airways Corporation","2009","Carrier Delay",4.15861424338246
"AirTran Airways Corporation","2009","National Avaiation System Delay",8.50682735715848
"AirTran Airways Corporation","2009","Security Delay",0
"AirTran Airways Corporation","2009","Weather Delay",0.117419406161128
"AirTran Airways Corporation","2010","Late Arrival",6.66373310186301
"AirTran Airways Corporation","2010","Cancelled / Diverted",1.32814132548906
"AirTran Airways Corporation","2010","Carrier Delay",3.07905756216746
"AirTran Airways Corporation","2010","National Avaiation System Delay",5.93954847213515
"AirTran Airways Corporation","2010","Security Delay",0
"AirTran Airways Corporation","2010","Weather Delay",0.152481072479144
"AirTran Airways Corporation","2011","Late Arrival",5.65473275352529
"AirTran Airways Corporation","2011","Cancelled / Diverted",1.3662883037197
"AirTran Airways Corporation","2011","Carrier Delay",2.5945002673872
"AirTran Airways Corporation","2011","National Avaiation System Delay",5.82210106030084
"AirTran Airways Corporation","2011","Security Delay",0
"AirTran Airways Corporation","2011","Weather Delay",0.131518317028745
"AirTran Airways Corporation","2012","Late Arrival",4.36735545145351
"AirTran Airways Corporation","2012","Cancelled / Diverted",0.882371815439902
"AirTran Airways Corporation","2012","Carrier Delay",2.50897498189419
"AirTran Airways Corporation","2012","National Avaiation System Delay",5.061422245854
"AirTran Airways Corporation","2012","Security Delay",0
"AirTran Airways Corporation","2012","Weather Delay",0.0877467203270964
"AirTran Airways Corporation","2013","Late Arrival",7.59512394223694
"AirTran Airways Corporation","2013","Cancelled / Diverted",0.930716519499632
"AirTran Airways Corporation","2013","Carrier Delay",4.84861915930832
"AirTran Airways Corporation","2013","National Avaiation System Delay",6.82524489514349
"AirTran Airways Corporation","2013","Security Delay",0
"AirTran Airways Corporation","2013","Weather Delay",0.351993653421634
"AirTran Airways Corporation","2014","Late Arrival",6.43100823951192
"AirTran Airways Corporation","2014","Cancelled / Diverted",2.10956663941128
"AirTran Airways Corporation","2014","Carrier Delay",4.7304107176552
"AirTran Airways Corporation","2014","National Avaiation System Delay",5.43107113654947
"AirTran Airways Corporation","2014","Security Delay",0
"AirTran Airways Corporation","2014","Weather Delay",0.412428454619787
"Alaska Airlines Inc.","2003","Late Arrival",7.54029472831316
"Alaska Airlines Inc.","2003","National Avaiation System Delay",4.55476781283233
"Alaska Airlines Inc.","2003","Weather Delay",0.263837544943536
"Alaska Airlines Inc.","2003","Carrier Delay",5.69413075403859
"Alaska Airlines Inc.","2003","Cancelled / Diverted",2.1572897148934
"Alaska Airlines Inc.","2003","Security Delay",0.275727958677267
"Alaska Airlines Inc.","2004","Late Arrival",8.80581704512791
"Alaska Airlines Inc.","2004","National Avaiation System Delay",4.67239149180799
"Alaska Airlines Inc.","2004","Weather Delay",0.265030660151384
"Alaska Airlines Inc.","2004","Carrier Delay",7.05036768228418
"Alaska Airlines Inc.","2004","Cancelled / Diverted",2.49532911756252
"Alaska Airlines Inc.","2004","Security Delay",0.236202931876976
"Alaska Airlines Inc.","2005","Late Arrival",10.9220113851992
"Alaska Airlines Inc.","2005","National Avaiation System Delay",6.06982922201138
"Alaska Airlines Inc.","2005","Weather Delay",0.268931056293485
"Alaska Airlines Inc.","2005","Carrier Delay",10.815641998735
"Alaska Airlines Inc.","2005","Cancelled / Diverted",1.94686907020873
"Alaska Airlines Inc.","2005","Security Delay",0.238583175205566
"Alaska Airlines Inc.","2006","Late Arrival",9.36398082858648
"Alaska Airlines Inc.","2006","National Avaiation System Delay",7.47660033625254
"Alaska Airlines Inc.","2006","Weather Delay",0.334420717171464
"Alaska Airlines Inc.","2006","Carrier Delay",7.48472434819703
"Alaska Airlines Inc.","2006","Cancelled / Diverted",1.83245087952624
"Alaska Airlines Inc.","2006","Security Delay",0.227440967604326
"Alaska Airlines Inc.","2007","Late Arrival",9.86614851577863
"Alaska Airlines Inc.","2007","National Avaiation System Delay",7.51635296688204
"Alaska Airlines Inc.","2007","Weather Delay",0.310834347785373
"Alaska Airlines Inc.","2007","Carrier Delay",7.79087929581421
"Alaska Airlines Inc.","2007","Cancelled / Diverted",1.91153978212692
"Alaska Airlines Inc.","2007","Security Delay",0.224190779411306
"Alaska Airlines Inc.","2008","Late Arrival",6.74030125345793
"Alaska Airlines Inc.","2008","National Avaiation System Delay",7.20023560244074
"Alaska Airlines Inc.","2008","Weather Delay",0.3959047530807
"Alaska Airlines Inc.","2008","Carrier Delay",5.49655199798811
"Alaska Airlines Inc.","2008","Cancelled / Diverted",1.72731002898704
"Alaska Airlines Inc.","2008","Security Delay",0.146894150970867
"Alaska Airlines Inc.","2009","Late Arrival",4.60710592621721
"Alaska Airlines Inc.","2009","National Avaiation System Delay",6.56450532325483
"Alaska Airlines Inc.","2009","Weather Delay",0.432108474971236
"Alaska Airlines Inc.","2009","Carrier Delay",4.23921148832671
"Alaska Airlines Inc.","2009","Cancelled / Diverted",1.18480651315885
"Alaska Airlines Inc.","2009","Security Delay",0.0650150740595098
"Alaska Airlines Inc.","2010","Late Arrival",3.2867981014969
"Alaska Airlines Inc.","2010","National Avaiation System Delay",4.73781672143118
"Alaska Airlines Inc.","2010","Weather Delay",0.338722161372764
"Alaska Airlines Inc.","2010","Carrier Delay",3.15568455640745
"Alaska Airlines Inc.","2010","Cancelled / Diverted",0.862358525009127
"Alaska Airlines Inc.","2010","Security Delay",0.0627309236947791
"Alaska Airlines Inc.","2011","Late Arrival",3.02374657334094
"Alaska Airlines Inc.","2011","National Avaiation System Delay",4.4578225234126
"Alaska Airlines Inc.","2011","Weather Delay",0.275350319357667
"Alaska Airlines Inc.","2011","Carrier Delay",3.05767919513519
"Alaska Airlines Inc.","2011","Cancelled / Diverted",0.930938034871909
"Alaska Airlines Inc.","2011","Security Delay",0.0497961398772665
"Alaska Airlines Inc.","2012","Late Arrival",3.48959469807344
"Alaska Airlines Inc.","2012","National Avaiation System Delay",4.37585807317255
"Alaska Airlines Inc.","2012","Weather Delay",0.334419830723255
"Alaska Airlines Inc.","2012","Carrier Delay",3.11013153169026
"Alaska Airlines Inc.","2012","Cancelled / Diverted",1.10998922537931
"Alaska Airlines Inc.","2012","Security Delay",0.0601955695301859
"Alaska Airlines Inc.","2013","Late Arrival",3.21720530169378
"Alaska Airlines Inc.","2013","National Avaiation System Delay",5.56202865396173
"Alaska Airlines Inc.","2013","Weather Delay",0.322011334923066
"Alaska Airlines Inc.","2013","Carrier Delay",2.95315458534473
"Alaska Airlines Inc.","2013","Cancelled / Diverted",0.688884149848458
"Alaska Airlines Inc.","2013","Security Delay",0.0921140213127573
"Alaska Airlines Inc.","2014","Late Arrival",3.83912715201208
"Alaska Airlines Inc.","2014","National Avaiation System Delay",5.68519315848918
"Alaska Airlines Inc.","2014","Weather Delay",0.318569547664065
"Alaska Airlines Inc.","2014","Carrier Delay",3.17627935129199
"Alaska Airlines Inc.","2014","Cancelled / Diverted",0.750045239833517
"Alaska Airlines Inc.","2014","Security Delay",0.0692325452242336
"Alaska Airlines Inc.","2015","Late Arrival",3.80788425756864
"Alaska Airlines Inc.","2015","National Avaiation System Delay",5.24471223793045
"Alaska Airlines Inc.","2015","Weather Delay",0.325519791793463
"Alaska Airlines Inc.","2015","Carrier Delay",3.48331507468656
"Alaska Airlines Inc.","2015","Cancelled / Diverted",0.627170025678033
"Alaska Airlines Inc.","2015","Security Delay",0.0946841254108195
"Alaska Airlines Inc.","2016","Late Arrival",3.10323217509025
"Alaska Airlines Inc.","2016","National Avaiation System Delay",5.60657716606498
"Alaska Airlines Inc.","2016","Weather Delay",0.260102662454874
"Alaska Airlines Inc.","2016","Carrier Delay",2.8993851534296
"Alaska Airlines Inc.","2016","Cancelled / Diverted",0.714688628158845
"Alaska Airlines Inc.","2016","Security Delay",0.0870148916967509
"Alaska Airlines Inc.","2017","Late Arrival",5.64066008482732
"Alaska Airlines Inc.","2017","National Avaiation System Delay",9.31824500124746
"Alaska Airlines Inc.","2017","Weather Delay",0.794133371351178
"Alaska Airlines Inc.","2017","Carrier Delay",4.14695085005525
"Alaska Airlines Inc.","2017","Cancelled / Diverted",2.41294507609509
"Alaska Airlines Inc.","2017","Security Delay",0.0877499376269737
"Aloha Airlines Inc.","2006","Carrier Delay",3.75864017859666
"Aloha Airlines Inc.","2006","Late Arrival",3.12552632322604
"Aloha Airlines Inc.","2006","Weather Delay",0.0339107581880351
"Aloha Airlines Inc.","2006","Cancelled / Diverted",2.14768135190889
"Aloha Airlines Inc.","2006","National Avaiation System Delay",0.89710910786447
"Aloha Airlines Inc.","2006","Security Delay",0.0634696357419391
"Aloha Airlines Inc.","2007","Carrier Delay",3.68468507333909
"Aloha Airlines Inc.","2007","Late Arrival",2.61676013805004
"Aloha Airlines Inc.","2007","Weather Delay",0.0400345125107852
"Aloha Airlines Inc.","2007","Cancelled / Diverted",0.869283865401208
"Aloha Airlines Inc.","2007","National Avaiation System Delay",0.485547886108714
"Aloha Airlines Inc.","2007","Security Delay",0.0582398619499569
"Aloha Airlines Inc.","2008","Carrier Delay",2.81653846153846
"Aloha Airlines Inc.","2008","Late Arrival",1.56269230769231
"Aloha Airlines Inc.","2008","Weather Delay",0.128205128205128
"Aloha Airlines Inc.","2008","Cancelled / Diverted",0.615384615384615
"Aloha Airlines Inc.","2008","National Avaiation System Delay",0.492564102564103
"Aloha Airlines Inc.","2008","Security Delay",0.0512820512820513
"American Airlines Inc.","2003","Weather Delay",1.20763180717127
